rep_date,sbu_code,loc_code,loc_name,prim_cls,main_grp,catdes,item_code,supplier,itm_desc,itm_group,on_hand_qty,avg_price,plu_code,cur,ove30,ove60,ove90,ove120,ove180,ove270,ove365,ove730,neg_stock,on_hand_value,cur_val,ove30_val,ove60_val,ove90_val,ove120_val,ove180_val,ove270_val,ove365_val,ove730_val,neg_stock_val
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,ABFNPDABMPF0,1004,ABANS STORMY GREY STAND FAN,L03101,5.0,11177.95,778700,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55889.75,0.0,55889.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,ABFNWL40C1Y,1004,ABANS WALL FAN WITH REMOTE -16,L03101,1.0,14773.01,756625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14773.01,0.0,0.0,0.0,0.0,0.0,0.0,14773.01,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,EQFNPDSF2,1004,ELECTRIQUE - STAND FAN,L03101,5.0,12068.47,787632,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60342.35,48273.88,0.0,12068.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPABP90P,1004,ANLU-HIGH PRESSURE WASHER 90BA,L03101,1.0,32705.59,790502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32705.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32705.59,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPBGKTBR185,1004,BRIGHT-SS ELECTRIC KETTLE 1-8L,L03101,16.0,3638.09,755648,0.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58209.44,0.0,36380.9,21828.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPBRKT185,1004,BRIGHT-S S ELECTRIC KETTLE 1-8,L03101,15.0,3329.85,749803,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49947.75,0.0,33298.5,16649.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPD-HB8508S,298,CLEAR POWERMIXER HB8508S,L03101,1.0,23201.32,723038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23201.32,0.0,0.0,0.0,0.0,0.0,0.0,23201.32,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPDC-N,1007,WIPRO INDUSTRIAL STAND FAN  20,L03101,1.0,18325.11,794965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18325.11,0.0,0.0,0.0,0.0,0.0,0.0,18325.11,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPDCVETFN,1007,VESTA TABLE FAN 16  VETF-1601,L03101,1.0,6816.34,766007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6816.34,0.0,0.0,0.0,0.0,0.0,0.0,6816.34,0.0,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPDCVM610,1663,B&D VACUUM CLEANER BM1680,L03101,2.0,30295.43,8435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,60590.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60590.86,0.0,0.0
2024-06-15,830,111,Kurunegala Super Centre,B,Electricals,Electronics,LPDF-GST2000,1663,B & D GARMENT STEAMER 2000W-GS,L03101,1.0,26865.71,790029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26865.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26865.71,0.0,0.0
